section,Preparation,,,,
"University of California, Los Angeles, School of Dentistry",#5#Behavioral Science,,,,
"University of California, Los Angeles, School of Dentistry",Psychology,x,,,3/4
"University of California, Los Angeles, School of Dentistry",#5#English,,,,
"University of California, Los Angeles, School of Dentistry",Basic composition,,,,
"University of California, Los Angeles, School of Dentistry",Composition,x,,,6/8
"University of California, Los Angeles, School of Dentistry",Creative writing,,,,
"University of California, Los Angeles, School of Dentistry",English,,,,
"University of California, Los Angeles, School of Dentistry",Literature,,,,
"University of California, Los Angeles, School of Dentistry",Technical writing,,,,
"University of California, Los Angeles, School of Dentistry",#5#Other science,,,,
"University of California, Los Angeles, School of Dentistry",Algebra,,,,
"University of California, Los Angeles, School of Dentistry",Biostatistics,,,,
"University of California, Los Angeles, School of Dentistry",Calculus,,,,
"University of California, Los Angeles, School of Dentistry",Computer science,,,,
"University of California, Los Angeles, School of Dentistry",Genetics,,,,
"University of California, Los Angeles, School of Dentistry",Mathematics,,,,
"University of California, Los Angeles, School of Dentistry",Statistics,,,,
"University of California, Los Angeles, School of Dentistry",Trigonometry,,,,
"University of California, Los Angeles, School of Dentistry",#5#Notes: ,,,,
